,1,2,label
0,0.637417,0.550437,1
1,0.879183,0.941249,1
2,0.274954,0.128897,1
3,0.10449100000000001,0.625146,0
4,0.410796,0.776312,0
5,0.9907229999999999,0.48723299999999997,0
6,0.7462409999999999,0.733152,1
7,0.817297,0.8388899999999999,1
8,0.526699,0.899335,1
9,0.13394,0.083062,0
10,0.9785739999999999,0.7223569999999999,1
11,0.7150310000000001,0.14322000000000001,1
12,0.462958,0.0044859999999999995,1
13,0.9715469999999999,0.8657459999999999,1
14,0.612581,0.178988,1
15,0.21756999999999999,0.8544870000000001,1
16,0.009673000000000001,0.692293,1
17,0.771313,0.712687,1
18,0.21123499999999998,0.783092,1
19,0.945333,0.014236000000000002,1
20,0.394204,0.853791,1
21,0.786042,0.9934719999999999,1
22,0.8831040000000001,0.170292,0
23,0.9620690000000001,0.724295,1
24,0.677354,0.804395,0
25,0.44142700000000007,0.462088,0
26,0.852827,0.501835,1
27,0.991943,0.9692700000000001,1
28,0.353106,0.047266,1
29,0.07162400000000001,0.029108,0
30,0.48367,0.97195,1
31,0.989117,0.767442,0
32,0.501397,0.255525,1
33,0.309158,0.848281,1
34,0.052085,0.010175,0
35,0.35385300000000003,0.086738,1
36,0.8503120000000001,0.003677,1
37,0.307893,0.531609,1
38,0.9188139999999999,0.27721,0
39,0.8742620000000001,0.6098819999999999,1
40,0.908639,0.044491,1
41,0.646724,0.496804,0
42,0.5067020000000001,0.5206890000000001,1
43,0.366361,0.477637,1
44,0.70397,0.322768,0
45,0.011655,0.7010390000000001,0
46,0.7453529999999999,0.607288,1
47,0.235082,0.38904299999999997,0
48,0.9114680000000001,0.167389,1
49,0.003914,0.264896,1
50,0.892817,0.297568,1
51,0.428904,0.687552,0
52,0.408496,0.353052,1
53,0.671759,0.740417,0
54,0.8944350000000001,0.579958,1
55,0.5107550000000001,0.31196999999999997,1
56,0.540229,0.973108,1
57,0.613638,0.027169,1
58,0.689018,0.630289,1
59,0.8178380000000001,0.741118,1
60,0.63143,0.314892,1
61,0.750352,0.19022,1
62,0.122501,0.7132890000000001,1
63,0.9330430000000001,0.311109,1
64,0.529533,0.178978,1
65,0.113882,0.683941,0
66,0.37925,0.592429,1
67,0.940609,0.534146,1
68,0.21419499999999997,0.33373,1
69,0.25053600000000004,0.73554,1
70,0.091147,0.264547,1
71,0.188668,0.297761,0
72,0.758471,0.046588,1
73,0.086069,0.892224,1
74,0.5346390000000001,0.085642,0
75,0.531353,0.073391,1
76,0.176769,0.8834780000000001,0
77,0.350433,0.985906,1
78,0.575893,0.604247,1
79,0.273109,0.513187,1
80,0.9447399999999999,0.21775,1
81,0.9098219999999999,0.019364,1
82,0.27420900000000004,0.6687930000000001,1
83,0.287877,0.063992,0
84,0.226262,0.140067,0
85,0.603651,0.727748,0
86,0.30386399999999997,0.625363,1
87,0.035793,0.477364,0
88,0.09267,0.710626,1
89,0.43414200000000003,0.819348,1
90,0.6045189999999999,0.672245,1
91,0.450068,0.344561,0
92,0.269395,0.745147,1
93,0.206164,0.149531,0
94,0.920372,0.6876939999999999,1
95,0.916703,0.035407,1
96,0.195158,0.5760069999999999,1
97,0.964985,0.331752,0
98,0.138193,0.097301,0
99,0.819694,0.669922,1
100,0.819994,0.44992200000000004,1
