1,2,c0
0.637417,0.550437,c0
0.879183,0.941249,c0
0.274954,0.128897,c0
0.104491,0.625146,c0
0.410796,0.776312,c0
0.990723,0.487233,c0
0.746241,0.733152,c0
0.817297,0.83889,c0
0.526699,0.899335,c0
0.13394,0.083062,c0
0.978574,0.722357,c0
0.715031,0.14322,c0
0.462958,0.004486,c0
0.971547,0.865746,c0
0.612581,0.178988,c0
0.21757,0.854487,c0
0.009673,0.692293,c0
0.771313,0.712687,c0
0.211235,0.783092,c0
0.945333,0.014236,c0
0.394204,0.853791,c0
0.786042,0.993472,c0
0.883104,0.170292,c0
0.962069,0.724295,c0
0.677354,0.804395,c0
0.441427,0.462088,c0
0.852827,0.501835,c0
0.991943,0.96927,c0
0.353106,0.047266,c0
0.071624,0.029108,c0
0.48367,0.97195,c0
0.989117,0.767442,c0
0.501397,0.255525,c0
0.309158,0.848281,c0
0.052085,0.010175,c0
0.353853,0.086738,c0
0.850312,0.003677,c0
0.307893,0.531609,c0
0.918814,0.27721,c0
0.874262,0.609882,c0
0.908639,0.044491,c0
0.646724,0.496804,c0
0.506702,0.520689,c0
0.366361,0.477637,c0
0.70397,0.322768,c0
0.011655,0.701039,c0
0.745353,0.607288,c0
0.235082,0.389043,c0
0.911468,0.167389,c0
0.003914,0.264896,c0
0.892817,0.297568,c0
0.428904,0.687552,c0
0.408496,0.353052,c0
0.671759,0.740417,c0
0.894435,0.579958,c0
0.510755,0.31197,c0
0.540229,0.973108,c0
0.613638,0.027169,c0
0.689018,0.630289,c0
0.817838,0.741118,c0
0.63143,0.314892,c0
0.750352,0.19022,c0
0.122501,0.713289,c0
0.933043,0.311109,c0
0.529533,0.178978,c0
0.113882,0.683941,c0
0.37925,0.592429,c0
0.940609,0.534146,c0
0.214195,0.33373,c0
0.250536,0.73554,c0
0.091147,0.264547,c0
0.188668,0.297761,c0
0.758471,0.046588,c0
0.086069,0.892224,c0
0.534639,0.085642,c0
0.531353,0.073391,c0
0.176769,0.883478,c0
0.350433,0.985906,c0
0.575893,0.604247,c0
0.273109,0.513187,c0
0.94474,0.21775,c0
0.909822,0.019364,c0
0.274209,0.668793,c0
0.287877,0.063992,c0
0.226262,0.140067,c0
0.603651,0.727748,c0
0.303864,0.625363,c0
0.035793,0.477364,c0
0.09267,0.710626,c0
0.434142,0.819348,c0
0.604519,0.672245,c0
0.450068,0.344561,c0
0.269395,0.745147,c0
0.206164,0.149531,c0
0.920372,0.687694,c0
0.916703,0.035407,c0
0.195158,0.576007,c0
0.964985,0.331752,c0
0.138193,0.097301,c0
0.819694,0.669922,c0
0.819994,0.449922,c0
